Symbol,Name,Market_Cap,Country,Sector,Industry
AAPL,Apple Inc. Common Stock,2371054618400.0,United States,Technology,Computer Manufacturing
AAL,American Airlines Group Inc. Common Stock,8367473920.00,United States,Consumer Discretionary,Air Freight/Delivery Services
ABNB,Airbnb Inc. Class A Common Stock,53631180704.00,United States,Consumer Discretionary,Hotels/Resorts
ADBE,Adobe Inc. Common Stock,151297056000.00,United States,Technology,Computer Software: Prepackaged Software
GOGL,Golden Ocean Group Limited Common Stock,1804370589.00,Bermuda,Consumer Discretionary,Marine Transportation
TSLA,Tesla Inc. Common Stock,499145929613.00,United States,Consumer Discretionary,Auto Manufacturing
GOOGL,Alphabet Inc. Class A Common Stock,1169594195000.00,United States,Technology,Internet and Information Services
AZN,AstraZeneca PLC American Depositary Shares,214888572301.0,United Kingdom,Health Care,Biotechnology: Pharmaceutical Preparations
SIMO,Silicon Motion Technology Corporation American Depositary Shares,2172087945.0,Taiwan,Technology,Semiconductors
CRSP,CRISPR Therapeutics AG Common Shares,3777692207.0,Switzerland,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ERIC,Ericsson American Depositary Shares,20504100000.0,Sweden,Technology,Computer Software: Prepackaged Software
GRFS,Grifols S.A. American Depositary Shares,5563673137.0,Spain,Health Care,Biotechnology: Pharmaceutical Preparations
DDI,DoubleDown Interactive Co. Ltd. American Depository Shares,470262146.0,South Korea,Technology,EDP Services
LSAK,Lesaka Technologies Inc. Common Stock,223481740.0,South Africa,Technology,EDP Services
GRAB,Grab Holdings Limited Class A Ordinary Shares,12536072240.0,Singapore,Consumer Discretionary,Business Services
OPRA,Opera Limited American Depositary Shares,672166835.0,Norway,Technology,Computer Software: Prepackaged Software
ASML,ASML Holding N.V. New York Registry Shares,236754096510.0,Netherlands,Technology,Industrial Machinery/Components
OMAB,Grupo Aeroportuario del Centro Norte S.A.B. de C.V. ADS,3011638795.0,Mexico,Consumer Discretionary,Aerospace
TIGO,Millicom International Cellular S.A. Common Stock,2276254800.0,Luxembourg,Telecommunications,Telecommunications Equipment
NVCR,NovoCure Limited Ordinary Shares,7864959145.0,Jersey,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
GNTA,Genenta Science S.p.A. American Depositary Shares,104018259.0,Italy,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
MBLY,Mobileye Global Inc. Class A Common Stock,27457463627.0,Israel,Consumer Discretionary,Automotive Aftermarket
HZNP,Horizon Therapeutics Public Limited Company Ordinary Shares,25687626276.0,Ireland,Health Care,Biotechnology: Pharmaceutical Preparations
MMYT,MakeMyTrip Limited Ordinary Shares,2981358321.0,India,Consumer Discretionary,Other Consumer Services
FUTU,Futu Holdings Limited American Depositary Shares,9892564965.0,Hong Kong,Finance,Investment Bankers/Brokers/Service
DOX,Amdocs Limited Ordinary Shares,10733177805.0,Guernsey,Technology,EDP Services
SBLK,Star Bulk Carriers Corp. Common Shares,2094329469.0,Greece,Consumer Discretionary,Marine Transportation
BNTX,BioNTech SE American Depositary Share,43964887245.0,Germany,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
SNY,Sanofi ADS,119815736777.0,France,Health Care,Biotechnology: Pharmaceutical Preparations
GMAB,Genmab A/S ADS,29457954300.0,Denmark,Health Care,Biotechnology: Commercial Physical & Biological Resarch
HORI,Emerging Markets Horizon Corp. Class A Ordinary Shares,367281250.0,Cyprus,Finance,Business Services
SPNS,Sapiens International Corporation N.V. Common Shares (Cayman Islands),1062017991.0,Curacao,Technology,Computer Software: Prepackaged Software
ESTA,Establishment Labs Holdings Inc. Common Shares,1668666516.0,Costa Rica,Health Care,Industrial Specialties
BGNE,BeiGene Ltd. American Depositary Shares,21531100714.0,Cayman Islands,Health Care,Biotechnology: Pharmaceutical Preparations
LULU,lululemon athletica inc. Common Stock,41763626662.0,Canada,Consumer Discretionary,Department/Specialty Retail Stores
XP,XP Inc. Class A Common Stock,7928154865.0,Brazil,Finance,Investment Bankers/Brokers/Service
MRVL,Marvell Technology Inc. Common Stock,34430886000.0,Bermuda,Technology,Semiconductors
GLPG,Galapagos NV American Depositary Shares,2698597596.0,Belgium,Health Care,Biotechnology: Pharmaceutical Preparations
IONR,ioneer Ltd American Depositary Shares,682505250.0,Australia,Consumer Discretionary,Catalog/Specialty Distribution
MELI,MercadoLibre Inc. Common Stock,41677868982.0,Argentina,Consumer Discretionary,Catalog/Specialty Distribution
